Date,C50,D00,R00,Total
2023-02-23,295441,0,0,295441
2023-02-24,283752,29,84,283865
2023-02-25,198695,4,46,198745
2023-02-26,138311,3,4,138318
2023-02-27,108084,18,60,108162
2023-02-28,88962,46,88,89096
2023-03-01,103572,60,40,103672
2023-03-02,86970,47,94,87111
2023-03-03,69400,44,137,69581
2023-03-04,66426,2,83,66511
2023-03-05,68237,10,108,68355
2023-03-06,57004,20,111,57135
2023-03-07,54259,41,109,54409
2023-03-08,54563,43,110,54716
2023-03-09,58226,55,127,58408
2023-03-10,190770,74,146,190990
2023-03-11,111184,37,102,111323
2023-03-12,81557,19,122,81698
2023-03-13,65928,20,96,66044
2023-03-14,68761,30,158,68949
2023-03-15,85675,50,132,85857
2023-03-16,65538,49,95,65682
2023-03-17,58993,29,115,59137
2023-03-18,68627,14,74,68715
2023-03-19,63993,13,13,64019
2023-03-20,49476,39,19,49534
2023-03-21,71425,47,62,71534
2023-03-22,101074,50,104,101228
2023-03-23,83707,71,89,83867
2023-03-24,134224,46,70,134340
2023-03-25,103253,23,24,103300
2023-03-26,80847,8,26,80881
2023-03-27,61362,32,72,61466
2023-03-28,81725,278,4224,86227
2023-03-29,111014,835,2632,114481
2023-03-30,95384,800,2832,99016
2023-03-31,89633,1190,1828,92651
2023-04-01,88706,1077,61,89844
2023-04-02,80768,1050,42,81860
2023-04-03,66478,848,82,67408
2023-04-04,56553,804,75,57432
2023-04-05,59736,1417,133,61286
2023-04-06,82230,2166,49,84445
2023-04-22,65885,4077,5,69967
2023-04-25,43204,3675,57,46936
2023-04-29,67507,9927,11,77445
2023-04-30,47983,11086,7,59076
2023-05-01,40203,11109,14,51326
2023-05-03,57754,14477,56,72287
2023-05-04,50216,18986,46,69248
2023-05-05,58210,19597,87,77894
2023-05-06,46889,21217,5,68111
2023-05-07,51484,27677,10,79171
2023-05-08,65128,44053,16,109197
2023-05-09,104504,39573,26,144103
2023-05-10,101091,35622,38,136751
2023-05-11,81162,40972,424,122558
2023-05-12,83929,51423,267,135619
2023-05-13,82688,68242,137,151067
2023-05-14,69295,87053,157,156505
2023-05-15,74257,126597,171,201025
2023-05-16,118954,180001,173,299128
2023-05-17,77034,753766,32,830832
2023-05-18,63451,1052468,30,1115949
2023-05-19,53404,936992,45,990441
2023-05-20,34697,1153340,28,1188065
